campaign_id,campaign_name,variant,total_clicks,total_conversions,conversion_rate_pct,ci_low,ci_high,ground_truth_real_effect
1,Whiteboard One-To-One Web-Readiness Campaign,A,870,65,7.471,0.059049210835002516,0.09411539016362246,False
1,Whiteboard One-To-One Web-Readiness Campaign,B,922,58,6.291,0.0489758784212857,0.08046483800364054,False
2,Innovate E-Business Applications Campaign,A,1548,109,7.041,0.05870322221719761,0.08425054316710451,False
2,Innovate E-Business Applications Campaign,B,1548,111,7.171,0.05988532465161327,0.0856460233931872,False
3,Enhance Proactive Schemas Campaign,A,1621,90,5.552,0.04538803473098066,0.06775628653701246,False
3,Enhance Proactive Schemas Campaign,B,1633,81,4.96,0.04008751645696068,0.06123053411066906,False
4,Incubate Next-Generation E-Services Campaign,A,569,32,5.624,0.04011531992478176,0.07831462650368992,False
4,Incubate Next-Generation E-Services Campaign,B,500,21,4.2,0.027632099334746148,0.06335205123956134,False
5,Implement Granular E-Commerce Campaign,A,659,21,3.187,0.02093545575083505,0.04822375212024606,True
5,Implement Granular E-Commerce Campaign,B,614,27,4.397,0.03039488510589934,0.06322393240331338,True
6,Engineer Cross-Platform Platforms Campaign,A,1242,50,4.026,0.030668545271855772,0.052682018716375144,True
6,Engineer Cross-Platform Platforms Campaign,B,1290,61,4.729,0.03698758274643606,0.06027440048242287,True
7,Iterate Cross-Media Metrics Campaign,A,1242,72,5.797,0.04628600186139929,0.07238205353183849,True
7,Iterate Cross-Media Metrics Campaign,B,1344,93,6.92,0.056819767240856266,0.0840288309920518,True
11,Synergize Efficient Bandwidth Campaign,A,655,22,3.359,0.022283699211806812,0.05033102335580275,False
11,Synergize Efficient Bandwidth Campaign,B,681,17,2.496,0.015643174865348563,0.03961281425680756,False
12,Repurpose Real-Time Methodologies Campaign,A,1654,59,3.567,0.027754431608984886,0.045739682665865006,False
12,Repurpose Real-Time Methodologies Campaign,B,1766,89,5.04,0.04113365831869567,0.06161090368052505,False
13,Incentivize Granular Bandwidth Campaign,A,1423,96,6.746,0.05556095552155736,0.08169436419998706,False
13,Incentivize Granular Bandwidth Campaign,B,1382,96,6.946,0.05721901270037652,0.0840969934001764,False
14,Scale Magnetic Methodologies Campaign,A,583,41,7.033,0.05226030438416154,0.09401698747790138,False
14,Scale Magnetic Methodologies Campaign,B,566,25,4.417,0.03009438651888853,0.06439081779051957,False
15,Enhance Robust Vortals Campaign,A,970,32,3.299,0.02346365433252548,0.04620024172613539,False
15,Enhance Robust Vortals Campaign,B,986,40,4.057,0.029931786253306558,0.05477025092112621,False
16,Maximize Turn-Key E-Tailers Campaign,A,1486,78,5.249,0.04226076864342826,0.06502687858027659,False
16,Maximize Turn-Key E-Tailers Campaign,B,1435,61,4.251,0.03323434371949143,0.054226013278804976,False
17,Orchestrate Back-End Channels Campaign,A,1267,99,7.814,0.06460143084988945,0.09422371305474822,False
17,Orchestrate Back-End Channels Campaign,B,1179,83,7.04,0.0571484264783467,0.08643935399876876,False
18,Morph Cutting-Edge Applications Campaign,A,727,36,4.952,0.035980272116543005,0.06779269318811398,False
18,Morph Cutting-Edge Applications Campaign,B,654,32,4.893,0.03486969779705735,0.06825786360982236,False
