ip_address,campaign_id,bucket_start_epoch,bucket_start,clicks_in_window,distinct_devices,distinct_user_agents,campaign_name
203.0.113.77,8,1764558000,2025-12-01 03:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1764644400,2025-12-02 03:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1764756000,2025-12-03 10:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1764871200,2025-12-04 18:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1764946800,2025-12-05 15:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765036800,2025-12-06 16:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765101600,2025-12-07 10:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765180800,2025-12-08 08:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765306800,2025-12-09 19:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765339200,2025-12-10 04:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765461600,2025-12-11 14:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765530000,2025-12-12 09:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765591200,2025-12-13 02:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765710000,2025-12-14 11:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765825200,2025-12-15 19:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765904400,2025-12-16 17:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1765965600,2025-12-17 10:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766059200,2025-12-18 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766138400,2025-12-19 10:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766206800,2025-12-20 05:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766336400,2025-12-21 17:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766412000,2025-12-22 14:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766487600,2025-12-23 11:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766592000,2025-12-24 16:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766664000,2025-12-25 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766718000,2025-12-26 03:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766840400,2025-12-27 13:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1766905200,2025-12-28 07:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767002400,2025-12-29 10:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767096000,2025-12-30 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767164400,2025-12-31 07:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767294000,2026-01-01 19:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767355200,2026-01-02 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767441600,2026-01-03 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767528000,2026-01-04 12:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767628800,2026-01-05 16:00:00,25,1,25,Incubate 24/7 Architectures Campaign
203.0.113.77,8,1767690000,2026-01-06 09:00:00,25,1,25,Incubate 24/7 Architectures Campaign
